,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,T_0,V_0
0,1.0,0.9393963135674477,6.041601974088934,1200000.0,2.6435777261031105e-06,0.23998338666511643,1722.132423095405,0.07129975585068266,944798.8,25.0
1,2.0,0.9929730043354705,5.8063086458573565,1200000.0,2.291259649219269e-06,0.2589959966825788,2910.7445474416018,0.07081554029135262,1007467.6,25.0
2,3.0,0.8640532803430235,5.450117350236631,1200000.0,2.278648606587297e-06,0.276345983766106,2508.2967962548137,0.07114267159628485,883877.6,25.0
3,4.0,1.0204311754282842,5.356215762489981,1200000.0,2.064192050749333e-06,0.2921982603346436,2593.5757177323103,0.09040117179119483,943588.4,25.0
4,5.0,0.8603483615966581,4.8529711016782855,1200000.0,1.8621713069993647e-06,0.3078444189863916,1588.947000786662,0.10038533893003349,893860.0,25.0
5,6.0,0.9953543526178247,5.027625502681303,1200000.0,1.9501801462987504e-06,0.3063750269739103,2232.8023712188005,0.08923154959888069,872827.6,25.0
6,7.0,1.068538684030565,5.747469915362593,1200000.0,2.2986314153353992e-06,0.2544844119919887,2627.270138785243,0.07305323786071538,1036163.6,25.0
7,8.0,0.9865816654695184,5.763007435322315,1200000.0,2.3971163410993428e-06,0.24584685661417893,1981.0640333592892,0.06922073999642925,996274.8,25.0
8,9.0,1.006183278868611,5.874932189685836,1200000.0,2.368354567590188e-06,0.24978524459899631,1838.8128748089075,0.07776256335184728,1010425.6,25.0
9,10.0,1.004013304623865,5.747457119868663,1200000.0,2.1377974742305624e-06,0.27276744642576745,2823.503188930452,0.07773222770020333,1010425.6,25.0
10,11.0,0.8849711364436675,5.063980492986211,1200000.0,1.880741708613963e-06,0.3150776384585825,2395.4023229256272,0.09558656467745003,888583.2,25.0
11,12.0,0.9941573041805464,5.684258238362808,1200000.0,2.3117799606007833e-06,0.2583964472542988,2480.0073138922453,0.07670765107543392,1004509.6,25.0
12,13.0,1.0141428449120449,4.8008003165351525,1200000.0,1.9155520267826883e-06,0.32871850631529753,1933.697343610227,0.10006489260686291,790731.2,25.0
13,14.0,1.0571641700385948,5.306395232905913,1200000.0,2.0469902910006646e-06,0.2867562597393629,2953.616739206016,0.08288141153456569,980519.2,25.0
14,15.0,1.054751290645176,5.501065943807397,1200000.0,2.2540891880888693e-06,0.276125574648745,2173.070655182004,0.08273820640544544,922556.0,25.0
15,16.0,1.0452799028821889,5.3854369412719265,1200000.0,2.1106038057174055e-06,0.27534999914465885,2564.4253917485476,0.0838428034883219,999232.8,25.0
16,17.0,0.9418114626921276,5.490673816207838,1200000.0,2.0756210919033543e-06,0.28000862077615807,2484.2985398098826,0.08073878783169319,983477.2,25.0
17,18.0,0.9217881326001066,5.749334542287613,1200000.0,2.249510980269624e-06,0.2651529987200476,2477.6915867850184,0.0705892432988155,970536.8,25.0
18,19.0,1.0001450777685492,5.027750642447906,1200000.0,2.029175115749745e-06,0.31130941556441627,2233.7867426127195,0.08562335473601179,817040.4,25.0
19,20.0,0.9832345406133857,5.3310318572082664,1200000.0,2.070318974353609e-06,0.2835632530097314,2436.1451927497983,0.08017113939345588,938882.8,25.0
20,21.0,0.8996244362253448,5.154988683442575,1200000.0,2.058497361052367e-06,0.3152985116854623,3409.9649742394686,0.07718658470132017,822956.4,25.0
21,22.0,0.9720840711410794,5.855990406700691,1200000.0,2.2371585832012166e-06,0.25839282310205647,1973.6888310685754,0.08129042239301515,1030886.8,25.0
22,23.0,0.9908706612383876,5.503843582566184,1200000.0,2.203523082148538e-06,0.2716468582371405,2642.683132611215,0.0730057030367171,949504.4,25.0
23,24.0,1.028946219928442,5.469208027469705,1200000.0,2.2509437217357748e-06,0.2670285155556442,2452.091547034681,0.07286861941052197,946546.4,25.0
24,25.0,0.9534168230692368,5.687335197827508,1200000.0,2.272836454002187e-06,0.2617373071161353,1785.8173956945539,0.08062032770765093,970536.8,25.0
25,26.0,0.8798451307174198,5.399667587552038,1200000.0,2.1692416735519582e-06,0.29104369132694785,1722.6298158243299,0.08167426814825357,832938.8,25.0
26,27.0,0.997032203290461,4.926507697125466,1200000.0,2.0346570847483552e-06,0.30379016515801993,2591.0909854471684,0.08255200708779897,856929.2,25.0
27,28.0,1.0061519260889193,5.609043414922709,1200000.0,2.202197603020166e-06,0.27661552090063424,3217.8331485539675,0.06609609670925226,932966.8,25.0
28,29.0,0.9095322618773717,5.984670131200858,1200000.0,2.4472383175903244e-06,0.24435937199390878,1946.2790180817246,0.0744011490908153,1007467.6,25.0
29,30.0,0.9464947801624598,5.574207683896532,1200000.0,2.2409296378899824e-06,0.27212656991296313,2692.2978040501475,0.07393860506388239,949504.4,25.0
30,31.0,0.980948225368158,5.376925830436271,1200000.0,2.1627245723716766e-06,0.2775608507548952,2549.84606397897,0.07929523162630986,941269.6,25.0
31,32.0,0.9359379208127561,5.8130154612855875,1200000.0,2.334443660277165e-06,0.25531031999060616,2800.2386583685875,0.06664547769886364,1007467.6,25.0
32,33.0,1.0729068422902952,5.497785962067084,1200000.0,2.209177442914656e-06,0.2658572086443556,2504.876104608178,0.0737759505938691,986435.2,25.0
33,34.0,1.166622501117079,5.882466469963049,1200000.0,2.3266650299017574e-06,0.24825788976252738,2471.4361108466983,0.07237790013309175,1057196.0,25.0
34,35.0,1.0279839747877122,5.660854555626962,1200000.0,2.2117179155122586e-06,0.26621531599280246,2059.911357834935,0.08501074480816617,999232.8,25.0
35,36.0,0.9648373924005308,6.103228672154643,1200000.0,2.6394855365531353e-06,0.24220288961755188,2280.278343036771,0.06368689529026411,946546.4,25.0
36,37.0,0.89658363456093,5.890864074748038,1200000.0,2.3493888073926883e-06,0.27517124310817564,2102.362124249339,0.08178079585486975,890902.0,25.0
37,38.0,1.1612880058465163,5.385655701148856,1200000.0,2.0792634188695198e-06,0.27598078043354235,2731.24386177212,0.08021287245152964,1004509.6,25.0
38,39.0,0.9644060946026217,5.539070082477167,1200000.0,2.158316731984541e-06,0.26957363648477184,2111.232781842351,0.08616052465283541,1004509.6,25.0
39,40.0,0.942100851646156,5.4694716814534985,1200000.0,2.2229991674260565e-06,0.2806082945323425,2056.5670944973826,0.07948189182846394,888583.2,25.0
40,41.0,0.8494681559031523,5.307384093021682,1200000.0,2.30347291931802e-06,0.2846821350336768,3045.1837976276875,0.05942519280781877,822956.4,25.0
41,42.0,1.0735087052828352,5.808594044712088,1200000.0,2.344454572480477e-06,0.25446921772932285,2365.0079855695367,0.07398667883536308,999232.8,25.0
42,43.0,0.9823818740632537,5.604645415994277,1200000.0,2.256781884742322e-06,0.26177128630207136,1695.2961196303368,0.09289858677886603,1012173.2,25.0
43,44.0,1.0540164985942302,5.065517597900296,1200000.0,2.049331478579469e-06,0.29969367945570013,2054.0748600438237,0.08794078654116882,856929.2,25.0
44,45.0,0.9911689830252074,5.75827853108111,1200000.0,2.4926340405822736e-06,0.2664302809600798,2721.19763417542,0.07479784426377145,909615.6,25.0
45,46.0,1.0332168606428016,5.920047025947731,1200000.0,2.375161301689382e-06,0.25235216821112516,2462.4238518103957,0.07774226654331662,1033205.6,25.0
46,47.0,0.974054963468714,5.61442949014441,1200000.0,2.303096504897716e-06,0.25762694783489337,2888.067194342613,0.06920652993219867,1007467.6,25.0
47,48.0,0.9468582401498328,6.209714778639508,1200000.0,2.4421026168750274e-06,0.2425400276434857,2585.4303154200315,0.07009178104612768,1064859.6,25.0
48,49.0,0.9163218810254788,6.291220733898712,1200000.0,2.8416259853624994e-06,0.21688713365904277,1533.2179701328278,0.052632727569734084,967578.8,25.0
49,50.0,0.9848736677160203,5.5217410117918035,1200000.0,2.2215440462323925e-06,0.2964006040890794,3598.1246356591582,0.07356708501115716,864592.8,25.0
50,51.0,0.9485400303302427,5.279776100989828,1200000.0,2.2790373619711385e-06,0.2838141865420738,4945.492890931666,0.05960209682389095,917850.4,25.0
51,52.0,0.9992940030355855,6.137011596386365,1200000.0,2.5087694218896763e-06,0.24091141487244272,1694.9386773929,0.07612279906794528,1006896.4,25.0
52,53.0,0.9757918631733126,5.5330982310656935,1200000.0,2.231877484598681e-06,0.2742350319337703,3331.618560962379,0.0765544313043604,983477.2,25.0
53,54.0,0.9717097698305132,5.406501262287577,1200000.0,2.1978848355324804e-06,0.2888651755967757,2788.8676005080342,0.08019140996169771,888583.2,25.0
54,55.0,1.0248229502821986,5.481402408188316,1200000.0,2.2560323726561848e-06,0.26789439892680633,2267.8924229219556,0.07298620484845986,938882.8,25.0
55,56.0,0.9455101112505861,4.97230370715824,1200000.0,2.09610351582608e-06,0.29884329257475883,2328.4437399730086,0.08835649535457996,856929.2,25.0
56,57.0,0.9495390652600937,4.7982373862633665,1200000.0,1.7693747767537961e-06,0.32087554964414267,2018.9098614230752,0.0964464489549755,883877.6,25.0
57,58.0,0.9346134565797651,5.452484562267919,1200000.0,2.315278496823883e-06,0.28245974517307815,3150.809906452894,0.07589035743178396,880348.4,25.0
58,59.0,1.0730584527326208,5.579845364803099,1200000.0,2.312775792522502e-06,0.26470812614542893,2798.979023426771,0.07133790337416696,954781.2,25.0
59,60.0,1.0508978254771888,6.263089325749256,1200000.0,2.5333620436336906e-06,0.23668065786403503,1928.7355875894427,0.08035925688253104,1057196.0,25.0
60,61.0,1.0204654189228155,5.7351036034582705,1200000.0,2.4565606057978725e-06,0.2573983452009543,2684.936714813113,0.07247109265795071,954781.2,25.0
61,62.0,0.9228070599210065,5.037163191190125,1200000.0,1.9843275639369937e-06,0.31236364555552854,2632.071142986417,0.08674448669962426,853971.2,25.0
62,63.0,1.0311967486241198,5.497316541151072,1200000.0,2.222323521236622e-06,0.25439998331547287,1870.0315900668502,0.07494170615995394,1007467.6,25.0
63,64.0,0.9989864694995272,5.517266141829602,1200000.0,2.3057904090635574e-06,0.2748193583280951,3663.3811777979136,0.06024788889775151,896818.0,25.0
64,65.0,1.1296765848853678,5.865418572299525,1200000.0,2.3583692593148435e-06,0.256801811310865,3701.5272021740675,0.06519095351208781,1025542.0,25.0
65,66.0,1.105007282246271,5.481344276638424,1200000.0,2.216390467728748e-06,0.2676595349025561,2421.7999506369233,0.07835196248148535,983477.2,25.0
66,67.0,1.0089501354703398,5.54487061660631,1200000.0,2.154389315930981e-06,0.2597720137791555,2778.2768991813064,0.07155340788939168,1060154.0,25.0
67,68.0,0.9955955963170154,5.868590945746739,1200000.0,2.2584838423476953e-06,0.2682105254521474,2050.0430136546493,0.08618707273659326,975242.4,25.0
68,69.0,0.943455189234713,5.9474605806593885,1200000.0,2.526668122501974e-06,0.2477971704242492,2680.3910893425345,0.06280546435415602,973494.8,25.0
69,70.0,0.9872444251523852,4.967959029313832,1200000.0,1.9714790572636986e-06,0.3042724070013776,2279.486780822277,0.0871198954538625,869869.6,25.0
70,71.0,1.0423856994563923,5.932780628257582,1200000.0,2.1964380417349553e-06,0.2508217410617135,1802.178537197411,0.08149675571785336,1088850.0,25.0
71,72.0,1.0189636429442588,5.505854565641805,1200000.0,2.152264032748406e-06,0.263811163052857,2714.9362591579556,0.07443867182148745,1036163.6,25.0
72,73.0,1.0992736531262641,5.307033879783852,1200000.0,2.0446633020535174e-06,0.28784274023299616,3942.082152761519,0.07875900205395164,1004509.6,25.0
73,74.0,1.0748134220965806,5.27171351766053,1200000.0,2.242776252542459e-06,0.28472831541662913,3282.936186991632,0.05978189259062466,856929.2,25.0
74,75.0,1.0219232495347825,5.602287513607749,1200000.0,2.2851154474716468e-06,0.25895605318179094,2541.189686693251,0.06779365427214229,975242.4,25.0
75,76.0,0.9395064750751809,5.439170971422605,1200000.0,2.090854258230928e-06,0.2745384734284855,3099.6323070451617,0.07036491765225822,996274.8,25.0
76,77.0,1.0062655313794,5.726430791442148,1200000.0,2.633850659425529e-06,0.24406640641768718,2913.258352793753,0.05168254603870509,920808.4,25.0
77,78.0,0.9283116246346573,5.749120870266957,1200000.0,2.2705615108683437e-06,0.2544880292089644,1697.3572692275047,0.07888833347999769,1006896.4,25.0
78,79.0,0.9881500037260177,5.539408764525213,1200000.0,2.297390605370309e-06,0.2687201176913163,2051.5405269041657,0.08575736499755648,946546.4,25.0
79,80.0,1.010149512933824,6.058960609339664,1200000.0,2.6091478767997013e-06,0.23256583184620183,2380.4955273121595,0.06609971539997411,1027928.8,25.0
80,81.0,1.0760781081452906,5.765014882998521,1200000.0,2.4159076436746727e-06,0.26269016068680884,3184.2425753474236,0.07097446563133847,962444.8,25.0
81,82.0,1.0577531269929825,5.140980723710065,1200000.0,2.1351627221972066e-06,0.29394204153276604,3485.6951342746615,0.0750374456808206,885625.2,25.0
82,83.0,0.9992129292908182,5.272175914985574,1200000.0,2.1050357754297253e-06,0.2876051474799084,2646.608794629574,0.07673177375323026,909615.6,25.0
83,84.0,1.025708710058993,4.892047530137184,1200000.0,2.1516849847827896e-06,0.2900188433048072,3077.3811771571636,0.06662948123027729,859887.2,25.0
84,85.0,0.7922183455748122,6.127093881964782,1200000.0,2.4708159068784045e-06,0.24923613043254988,2074.1660829260945,0.07009962461240687,975242.4,25.0
85,86.0,1.021341023073713,5.450614364009965,1200000.0,2.309087383724823e-06,0.28144406651924925,2807.773883961141,0.0740293504829499,872827.6,25.0
86,87.0,0.9722993306853125,5.304104536626653,1200000.0,2.1521949728007243e-06,0.2880553892373072,2901.8484081849456,0.07151270577045304,880919.6,25.0
87,88.0,0.9491253049204746,6.020129693229926,1200000.0,2.367866299612164e-06,0.25677483826079595,2369.3028322830796,0.07709047638053373,1004509.6,25.0
88,89.0,0.9117417214317409,5.533545369944129,1200000.0,2.2612880854047044e-06,0.26950732249741094,2882.85968721658,0.06255575622974063,917850.4,25.0
89,90.0,1.0126001037597423,5.845590322921062,1200000.0,2.386392383596183e-06,0.2515731049242689,2349.3599557951093,0.0748848184038825,1012173.2,25.0
90,91.0,1.0009206768202747,5.555595770719208,1200000.0,2.270758133403607e-06,0.2630252912637161,2005.6585123986006,0.07937790466280154,975813.6,25.0
91,92.0,0.921945461114258,5.588661583606424,1200000.0,2.3209294993751107e-06,0.2597167199962058,1436.8289554193616,0.07465130379812474,914892.4,25.0
92,93.0,0.957790133981106,5.440774439628733,1200000.0,2.239559210201186e-06,0.27684318266647523,2263.2551969587803,0.08360754986025648,912573.6,25.0
93,94.0,0.9900613472862935,6.051589423719619,1200000.0,2.445998061755869e-06,0.24046365417738258,2685.01897354424,0.062476089769778365,1039121.6,25.0
94,95.0,1.0746713273235016,5.400910709095186,1200000.0,2.123683597167113e-06,0.26527656725023974,2763.9331026524305,0.07108286780176776,1028500.0,25.0
95,96.0,1.1116976664198415,5.50716569468014,1200000.0,2.163095338338948e-06,0.26689590260914287,2557.4535849764943,0.07727822315550364,1002190.8,25.0
96,97.0,0.9102533519190583,5.842125979532362,1200000.0,2.4548665020175927e-06,0.24692989841489066,2758.679929383099,0.062093142541514657,999232.8,25.0
97,98.0,0.9217947025369433,5.865743108201919,1200000.0,2.3392894004189114e-06,0.24510720978803846,2390.9318738505244,0.06598248717591665,1036163.6,25.0
98,99.0,0.9343039782368693,5.174334282446438,1200000.0,2.1022020194277514e-06,0.28480825325046055,3090.119619756937,0.06965501491812398,917279.2,25.0
99,100.0,1.0286214221570842,5.529710106030031,1200000.0,2.3616418653934368e-06,0.2574704356422899,2621.9019153937697,0.06677959784315823,964620.8,25.0
100,101.0,0.9315406258362227,4.951281098625508,1200000.0,1.9685971732462764e-06,0.29793028866861704,2488.986105494201,0.08124475243607177,906657.6,25.0
101,102.0,0.9862370774486301,5.172711867443979,1200000.0,1.9993553937343515e-06,0.3037014557651787,1937.9157952293754,0.09051841024396823,864592.8,25.0
102,103.0,1.0148445161521695,5.734220222251203,1200000.0,2.3211320129565426e-06,0.25957582923322065,2738.302459269762,0.07558974960175224,1007467.6,25.0
103,104.0,1.0712668772110276,5.555291981294559,1200000.0,2.326169680869742e-06,0.26740891050459226,4569.144069135189,0.049943164149608255,941269.6,25.0
104,105.0,1.1579035496088423,5.4511491736593385,1200000.0,2.2004637339558436e-06,0.263574642886077,1955.325295381248,0.08110220248782235,986435.2,25.0
105,106.0,0.9946814924541647,5.467254297126338,1200000.0,2.334227479060045e-06,0.28203163039052015,3097.77090023458,0.07768406931290744,893860.0,25.0
106,107.0,0.9726306785972997,4.922734841391424,1200000.0,2.0305959178578174e-06,0.29127269995240823,3079.750947318971,0.07351104166488537,922556.0,25.0
107,108.0,1.1485161774067416,5.437460690496316,1200000.0,2.1845765805178526e-06,0.28646828457801377,3677.7878095582128,0.0758211134523673,917850.4,25.0
108,109.0,0.9829896444704284,5.015619487296554,1200000.0,1.9149960802407594e-06,0.32423924716388086,3236.9597333297133,0.09432547431751148,885625.2,25.0
109,110.0,0.8757311137048982,4.907182640615531,1200000.0,1.8830536332848475e-06,0.3326014724104027,2953.6003066450357,0.09498337135874796,832938.8,25.0
110,111.0,0.9421931197760179,5.968499093166052,1200000.0,2.410968235568069e-06,0.24941343519915904,2321.0350607782602,0.060157604258188946,959486.8,25.0
111,112.0,0.9732551509718231,5.430088914504282,1200000.0,2.1379437228356873e-06,0.2879440986859194,2471.276925370097,0.08323870221460289,914892.4,25.0
112,113.0,0.8514441055462522,6.360173281451274,1200000.0,2.652736948201635e-06,0.2327432867534469,1587.3370601460338,0.07402743208316659,1015131.2,25.0
113,114.0,1.0764879692659886,5.221561980588923,1200000.0,1.9844563965454003e-06,0.2996914098258969,3216.4431937113404,0.08933210870221653,973494.8,25.0
114,115.0,0.9963530453722192,5.098123565643142,1200000.0,1.9618841098329007e-06,0.29272838848559957,2676.216968461871,0.08520620685400021,962444.8,25.0
115,116.0,0.970137794539971,5.76828030816305,1200000.0,2.2221693831707247e-06,0.26440011020017096,3095.5177734792233,0.06857402868679408,1007467.6,25.0
116,117.0,0.9239184760524115,5.03485708200229,1200000.0,1.98922174100127e-06,0.31382746239410864,2369.352718733251,0.09102939989307923,835896.8,25.0
117,118.0,1.0078650442412995,5.119953112714207,1200000.0,1.9632289650572154e-06,0.30577790431448193,1921.0494671463966,0.09466794897681347,877961.6,25.0
118,119.0,0.9131545597661689,5.070275452593066,1200000.0,1.8247377044968425e-06,0.3157887392577905,2699.98683154583,0.09324256967842676,930790.8,25.0
119,120.0,1.1281341125397133,5.9361930116988475,1200000.0,2.4135690032737843e-06,0.23556974694962918,2778.806216932833,0.05929576027209932,1088850.0,25.0
120,121.0,0.9466209795225019,5.679963711290824,1200000.0,2.333661584928889e-06,0.2572924348389023,2381.3640438318253,0.06951983128154293,970536.8,25.0
121,122.0,0.9367180126885499,6.087710589663388,1200000.0,2.4198162442427607e-06,0.23636973977821185,2134.15432728827,0.0732292800886033,1088850.0,25.0
122,123.0,0.9925634009762158,5.580115439569333,1200000.0,2.2641247179379804e-06,0.2794438906152763,2363.211445763707,0.07888538881606638,896818.0,25.0
123,124.0,1.062625649515138,5.764572348549265,1200000.0,2.462483682111044e-06,0.24498906995190595,3160.068581342697,0.05841912575798619,1002190.8,25.0
124,125.0,1.0715002199181534,5.6587098694270495,1200000.0,2.4336025678335223e-06,0.26442224297649375,2215.548764154315,0.07506894415900023,920808.4,25.0
125,126.0,0.9840863806343455,5.467782086250892,1200000.0,2.207335416502808e-06,0.2779658260657385,2565.688890784979,0.08085313961157231,935924.8,25.0
126,127.0,0.9572744533523055,4.970738510861558,1200000.0,1.9298622139446518e-06,0.31081382864200435,1982.9930009320378,0.09485110858397033,859887.2,25.0
127,128.0,0.9161877887470471,5.876696752376752,1200000.0,2.623857650640406e-06,0.24664221767165628,2261.675369992852,0.06766376101922683,922556.0,25.0
128,129.0,1.0471054143335394,5.369513144955711,1200000.0,2.1859037378868537e-06,0.28323157196291504,3634.0483218431473,0.06323290610093035,917850.4,25.0
129,130.0,0.9584603755263129,5.85525403694291,1200000.0,2.314406733386126e-06,0.2548176821604926,1759.4403005987406,0.0833555157252599,1004509.6,25.0
130,131.0,1.029325393575298,5.767120929185381,1200000.0,2.2229480273373717e-06,0.2617678081051835,1693.888369947672,0.08736566123010658,1007467.6,25.0
131,132.0,1.0439476713180023,5.840900268399729,1200000.0,2.2892748144856596e-06,0.2559402485539053,2531.1288364827633,0.07269564461751271,1028500.0,25.0
132,133.0,1.0070685797363472,5.425664645907936,1200000.0,2.140613833767517e-06,0.28430638927335394,3441.5646750479937,0.07170461993037075,946546.4,25.0
133,134.0,0.8382022100318143,6.049597808788519,1200000.0,2.516640538518779e-06,0.23764154737826004,1501.4063154011965,0.0732416194008268,999232.8,25.0
134,135.0,1.0221589489347667,5.768836048720104,1200000.0,2.3247907012894644e-06,0.25902772682842823,2417.454255580902,0.06852893860988968,967578.8,25.0
135,136.0,0.9242472762034752,5.0657007271275205,1200000.0,1.9182547175555578e-06,0.30513167046399303,2222.7046394348145,0.0978462180137924,922556.0,25.0
136,137.0,0.9533677413934313,5.356557381642311,1200000.0,2.303183691413495e-06,0.2604939469278946,4002.9574680551887,0.054011537862787784,983477.2,25.0
137,138.0,0.8818137179764679,5.457038033168551,1200000.0,2.1551722933475735e-06,0.27714002671532967,2694.0137580558658,0.06819790490658934,917850.4,25.0
138,139.0,1.0304480423490294,5.209756877109534,1200000.0,2.1199204894205103e-06,0.2871291920296173,3447.260855689645,0.07588937637936882,946546.4,25.0
139,140.0,0.9136757799977328,5.554344612495711,1200000.0,2.2416264963706653e-06,0.26398810319483346,2887.277414254844,0.06811042097035963,975813.6,25.0
140,141.0,0.9404694021343342,5.237292801284298,1200000.0,2.129453764821751e-06,0.29953419371055645,2256.1156094521284,0.08292995251919172,827662.0,25.0
141,142.0,1.0985009140988276,5.836676431748458,1200000.0,2.404210644056247e-06,0.2606254767656111,1483.621514223516,0.09004050098543182,943588.4,25.0
142,143.0,0.935350187550832,5.229743631865915,1200000.0,2.1802998352840657e-06,0.27668749075236576,3269.610424593091,0.06864372664909896,951823.2,25.0
143,144.0,1.0238250816274646,5.771408536233814,1200000.0,2.2048494802259973e-06,0.2670054220384088,1778.8019686937332,0.08928032309998363,999232.8,25.0
144,145.0,0.8956159927934736,5.271522428221402,1200000.0,2.0686060066797346e-06,0.29242599892393173,2560.043675802648,0.0856350257538428,914892.4,25.0
145,146.0,0.9040313360472215,5.2496208048501956,1200000.0,2.2576554202123953e-06,0.29470790984502315,3510.5974645763636,0.059357412247950714,798966.0,25.0
146,147.0,1.0552134976747805,5.199590592618804,1200000.0,2.0887054958573152e-06,0.28166395639765796,2677.6213081106544,0.07914709249919716,954781.2,25.0
147,148.0,1.0244264701414907,5.756305612573172,1200000.0,2.2784313231750464e-06,0.25870577754539426,2891.180458664894,0.06655527355071322,1004509.6,25.0
148,149.0,0.9741344962065406,6.263047844124422,1200000.0,2.4764446212870007e-06,0.23372220997512727,1812.5346928983927,0.07262374124246107,1067817.6,25.0
149,150.0,1.0377463855692173,5.303401732795557,1200000.0,2.022272725857301e-06,0.283823944489626,2891.300052829087,0.08065915499652054,999232.8,25.0
